school_name,school_description,school_latitude,school_longtitude,school_link
Edge Hill University,"Established:  1885 Edge Hill University is a campus-based public university situated in Ormskirk, Lancashire, England. The institution was opened in January 1885 as Edge Hill College. In 2005, Edge Hill was granted Taught Degree Awarding Powers by the Privy Council and became Edge Hill University in May 2006.
The university’s campus is situated in Ormskirk in West Lancashire and was named the safest campus to live at in the North West and the fifth-safest in the country by The Complete University Guide. 
Edge Hill has been shortlisted three times for the Times Higher Education University of the Year award, most recently in 2011. In 2013, the University’s Students’ Union was voted best in the North West and the institution was voted top in the North West for overall student satisfaction.
The university has three faculties: Arts and Sciences, Education, and Health and Social Care which teach at both undergraduate and post-graduate level.
Students who have completed a course with a corresponfing certificate can progress straight to UG second year.Postgraduate:  At least Third Class Honours with 45% and above.Contact the UniWebsite:  www.edgehill.ac.ukEmail:  international@edgehill.ac.ukPhone:  +44 1695 657122",53.56,-2.87,http://www.edgehill.ac.uk
University of Chester,"Established:  1839 The University of Chester is a public university located in the historic city of Chester, England. The university, based on three campuses in Chester and one in Warrington, offers a range of foundation, undergraduate and postgraduate courses, as well as undertaking academic research.
The University of Chester has two campuses. The 32-acre (130,000 m2) main campus is located on Parkgate Road, just north of the City Walls. It has a mixture of Victorian buildings and modern. The campus also features a fitness centre, sports hall, swimming pool, science and language laboratories, bar and various shops. 
We usually make conditional offers in UCAS tariff points. For some courses you may need to include points from certain subjects in your tariff points score.More tariff information on the UCAS websitePostgraduate:  Students want to apply taught Master's programmes normally require a Second Class UK honours degree, or its foreign equivalent.Contact the UniWebsite:  www.chester.ac.ukEmail:  international@chester.ac.ukPhone:  +44 1244 512465",53.2,-2.9,http://www.chester.ac.uk
"Goldsmiths, University of London","Established:  1904 Goldsmiths, University of London, is a public research university and a constituent college of the federal University of London which specialises in the arts, designs, humanities, and social sciences.
The University has a distinguished history of contributing to arts and social sciences. Its Department of Art is widely recognised as one of Britain's most prestigious, producing over 20 Turner Prize nominees. Goldsmiths is also famous for design, psychology, drama, sociology, music, media and cultural studies, languages and literature, visual cultures, anthropology and educational studies.
Nearly 20% of students come from countries outside the UK, and 52% of all undergraduates are mature students (aged 21 or over at the start of their studies). Around a third of students at Goldsmiths are postgraduate students.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.gold.ac.ukEmail:  admissions@gold.ac.ukPhone:  +44 (0)20 7078 5300",51.47,-0.03,http://www.gold.ac.uk
Staffordshire University,"Established:  1901 Staffordshire University is a university in Staffordshire, England. It has two main campuses based in the city of Stoke-on-Trent and in the county town of Stafford, with other campuses in Lichfield and Shrewsbury.
The university is noted for its science departments; in 2002 Psychology was among the top ten in the country, while Molecular Biochemistry and Biosciences were rated as 'excellent' by the Quality Assurance Agency for Higher Education. The Science Faculty together with most of the university also does consistently well in the National Student Survey and measures of graduate level employment after graduation.",53.01,-2.18,http://www.staffs.ac.uk
University of Huddersfield,"Established:  NA The University of Huddersfield is an exciting, stimulating place to learn and can trace its roots back over 180 years. A continuing programme of campus development ensures that Huddersfield students have access to some of the best facilities and equipment in the country. Nearly 80 million pounds has been spent on the campus with its resources over the last 10 years, with a further 100 million pounds already planned. 
The University of Huddersfield has an impressive record for graduate employment and is among the UK's top ten providers of 'sandwich courses' where Huddersfield students undertake a paid work placement in industry or commerce.",53.64,-1.78,http://www.hud.ac.uk
Northumbria University,"Established:  1969 Northumbria's campus is located in the city of Newcastle; a wonderful city with a dramatic location on the River Tyne and lies at the heart of one of Britain's most beautiful and historic regions. Voted one of the world's top spots for nightlife, Newcastle is a great place to be a student.
Northumbria is one of Britain's largest modern universities, with almost 32,000 students, including approximately 3,380 international students. The University has strong links with industry, and courses are designed to prepare students for successful careers. Many degrees are officially recognised by professional bodies.
The high-quality teaching at Northumbria is backed up by innovative research and excellent links with industry.",54.98,-1.61,http://www.unn.ac.uk
De Montfort University,"Established:  1870 De Montfort University (DMU) is a public research and teaching university situated in the city of Leicester, England, adjacent to the River Soar and the Leicester Castle Gardens.
In 2008, 70% of the university's research was deemed 'world-leading' (40%), or 'internationally excellent' (30%) in the United Kingdom Research Assessment Exercise. The assessment also highlighted a particular strength in English literature, where its RAE score equalled the University of Cambridge. The university has the second highest number of National Teaching Fellows of all UK universities.
The university is organised into four faculties: Art, Design, and Humanities; Business and Law; Health and Life Sciences; and Technology (comprising Computing Sciences and Engineering). There is also the Institute of Creative Technologies which researches the intersections of art, science, technology and multidisciplinary working.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  NAEmail:  iao@dmu.ac.ukPhone:  +44 116 207 8617",52.63,-1.14,mailto:iao@dmu.ac.uk
Leeds Trinity University,"Established:  1966 Leeds Trinity University is a university in the town of Horsforth, West Yorkshire, England, which offers foundation and undergraduate degrees, as well as postgraduate qualifications. Previously Leeds Trinity & All Saints, the institution became a university college in 2009 after gaining the right to award its own degrees, and was granted full university status in 2012.
Leeds Trinity is ranked in the top 10% of UK institutions for teaching excellence (The Sunday Times University Guide 2013), and top 10% in the UK for student satisfaction with feedback and assessment (The Guardian University Guide 2013). Overall satisfaction from students is above the national average at 86% (National Student Survey 2012), with 100% satisfaction in some courses such as English and Writing and Early Years. Leeds Trinity is also in the top 20% of English universities for employability, with 93% of its graduates working or studying 6 months after graduating.",53.85,-1.65,http://www.leedstrinity.ac.uk/
Falmouth University,"Established:  1902 Falmouth University is a multi-arts university based in Falmouth and Penryn, Cornwall, England. Founded in 1902, it had previously been the Falmouth School of Art, Falmouth College of Art and Design and then Falmouth College of Arts until it received taught degree-awarding powers (and the right to use the title ""University College"") in March 2005.
Falmouth University is a multi-arts university based in Falmouth and Penryn,  Cornwall, England. Penryn Campus, near the town of Penryn, is the larger of its two campuses, which it operates in partnership with the University of Exeter, under the Combined Universities in Cornwall initiative. Falmouth Campus is in Falmouth town centre and provides a historic contrast to the modernity of Penryn.",50.17,-5.15,http://www.falmouth.ac.uk
Sheffield Hallam University,"Established:  1843 Sheffield Hallam University is located in the north of England with eight subjects in the top 20 in the UK (The Times and Sunday Time Complete University Guide 2015). It is one of the UK's largest and most popular universities with over 34,000 students from over 100 different countries.
Sheffield Hallam is the chosen university of so many students because it offers excellent facilities, unforgettable experiences and a great choice of over 740 undergraduate and postgraduate courses. The courses are designed in consultation with industry experts, and offer opportunities to undertake placements, internships and consultancy projects.
The courses are designed in consultation with industry experts, and offer opportunities to undertake placements, internships and consultancy projects.
The University also offers a package of discounts and scholarships for undergraduate and postgraduate students.  
A-level, International Baccalaureate Diploma and other pathway courses such as foundation programmes or International qualifications equivalent to the above.Postgraduate:  The following qualifications will be considered for entry on to postgraduate taught programmes:
· A first degree or professional qualification recognised as being equivalent to degree standard.
· An HND or higher education diploma with substantial work experience in an appropriate field.
· Successful completion of a recognised pre-Masters course
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni.Contact the UniWebsite:  www.shu.ac.ukEmail:  admissions@shu.ac.ukPhone:  +44 (0)114 225 5555",53.38,-1.47,http://www.shu.ac.uk
Liverpool John Moores University,"Established:  1823 Liverpool John Moores University is a new university located in the city of Liverpool, England. The university is named after John Moores and was previously called Liverpool Mechanics' School of Arts and later Liverpool Polytechnic before gaining university status in 1992, thus becoming Liverpool John Moores University.
At present, LJMU serves more than 24,000 students comprising 20,410 undergraduate students and 4,270 postgraduate students, making it the largest university in Liverpool by student population – as well as the twentieth largest in the United Kingdom.",53.4,-2.97,http://ljmu.ac.uk
University of Chichester,"Established:  1839 The University of Chichester is a university based in West Sussex, England. Campuses are based in the city of Chichester and the nearby coastal resort of Bognor Regis. The university also has sites on the Isle of Wight and the Central Sussex Centre in Horsham. The university has a history dating back to 1839, when a School for training 'Masters' was set up at what is now the Chichester campus, known as the Bishop Otter college. 
Today, the main campus at College Lane, Chichester is known as the Bishop Otter campus, named for the former Bishop of Chichester , Willian Otter. The 38-acre (150,000 m2) campus is based around a number of buildings, including a new Learning Resources Centre, ArtOne, and a Sports Activity and Research Centre. The Bishop Otter Campus is currently home to the majority of courses, including all sports based courses, English, Fine Art, History, Music and Theology. 
The campus at Bognor Regis consists of 3 main Georgian buildings - St Michael's, Mordington House and The Dome. Bognor Campus currently houses the majority of teaching courses, alongside business, management and tourism related courses. 
The Alexandra Theatre in Bognor Regis is used as a base for the University of Chichester Musical Theatre Programme. The Chichester Festival Theatre Minerva Theatre also has links with the university after the Musical Theatre program put on a production of 'Oh, What a Lovely War!' in 2009. 
The university also offers a limited selection of courses through smaller centres at Arun House, in Horsham and also a base on the Isle of Wight. Students at the Horsham base are often required to attend one of the main campuses on a regular basis.",50.84,-0.77,http://www.chiuni.ac.uk
University of Ulster,"Established:  1968 The University of Ulster is a multi-campus university located in Northern Ireland. It is the second largest university in Ireland, after the federal National University of Ireland. The university was established in 1968 as the New University of Ulster and can trace its roots back to 1845.
The university incorporated its four campuses in 1984 under the University of Ulster banner; these are located in Belfast, Coleraine (site of the administrative headquarters), Magee College in Derry, and Jordanstown. A fifth distance learning campus, Campus One, delivers online programmes; mainly at a graduate level.
The university has one of the highest further study and/or employment rates in the UK, with 95% of graduates being in work or undertaking further study six months after they have completed their degree. In the 2008 RAE 86% of research activity at the university was rated as being of international quality, with 20% being classified as world-leading. Of particular note are the submissions within Biomedical Sciences, the Institute of Nursing and Health Research and Celtic Studies which were all ranked within the top three UK universities
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.ulst.ac.ukEmail:  registrymg@ulster.ac.ukPhone:  028 903 66251",55.01,-7.32,http://www.ulst.ac.uk
University of Roehampton,"Established:  NA Roehampton is a small, friendly, collegiate community where students can live, learn and socialise together on a beautiful and historic London campus.
Roehampton is one of the newest universities in the UK, having been established in 2004. At the same time, through our four Colleges which have come together to found the University, we have a proud and distinguished history dating back to the 1840s, particularly in the field of Childhood Studies and Education.
Roehampton's Colleges were also among the first colleges of higher education in the country to admit women. That tradition of equality continues to inform the values and ethos of the university, which has one of the most diverse communities of students in the UK.",51.46,-0.24,http://www.roehampton.ac.uk
St George's University of London,"Established:  1733 St George's, University of London (legal name St George's Hospital Medical School, informally St George's or SGUL) is a Medical School located in Tooting in South London and is a constituent college of the University of London. 
St George's has its origins in 1733, and was the second institution in England to provide formal training courses for doctors (after the University of Oxford).St George's affiliated with the University of London soon after the latter's establishment in 1836.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.sgul.ac.ukEmail:  global@sgul.ac.ukPhone:  +44 (0)20 8725 2333",51.43,-0.17,www.sgul.ac.uk
"City, University of London","Established:  1896 City, University of London is a public research university located in London, United Kingdom. It was founded in 1894 as the Northampton Institute and became a university when City, University of London was created by Royal Charter in 1966. The Inns of Court School of Law, which merged with City University in 2001, was established in 1852, making it the university's oldest constituent part.
The University has its main campus in the Islington area of central London, with additional campuses in the City of London and the Holborn, Smithfield and Whitechapel areas of London. It is organised into seven Schools, of which there are around 40 academic departments and centres, including the City University Department of Journalism, the Cass Business School and the Inns of Court School of Law (part of the City Law School).
Cass Business school is ranked 2nd in London and top 40 in the world. City is also included in the Times Higher Education's list of the top 100 universities in the world under 50 years old.",51.53,-0.1,http://www.city.ac.uk
University of Bradford,"Established:  1966 The University of Bradford is a public, plate glass university located in the city of Bradford, West Yorkshire, England. The university received its Royal Charter in 1966, making it the 40th university to be created in Britain, but its origins date back to the early 19th century. There are two campuses: the main campus located on Richmond Road and the School of Management, at Emm Lane.
The student population includes 10,525 undergraduate and 3,050 postgraduate students.
It was the first British university to establish a Department of Peace Studies in 1973, which is currently the world's largest university centre for the study of peace and conflict. The division has a reputation as a centre of excellence in peace research, international relations, security studies, conflict resolution and development and peace studies.
 Contact the UniWebsite:  www.brad.ac.ukEmail:  international-office@bradford.ac.ukPhone:  44 1274 235954",53.79,-1.76,http://www.brad.ac.uk
University of Hull,"Established:  1927 The University of Hull is a public university, founded in 1927, located in Kingston upon Hull, a city in the East Riding of Yorkshire, England. The main university campus is located in Hull and there is a smaller campus in Scarborough on the North Yorkshire coast. The main campus is home to the Hull York Medical School, a joint initiative with the University of York. Students are served by Hull University Union.",53.77,-0.38,http://www.hull.ac.uk
Bournemouth University,"Established:  1992 Bournemouth University (abbreviated BU) is a public university in Bournemouth, Dorset, England, with its main campus situated in neighbouring Poole. The university was founded in 1992 as one of the new universities, however the origins of its predecessor date back to the early 1900s.
The university was a finalist for two prizes in British higher education – the 2009 Times Higher Education (THE) Awards for ""University of the Year"" and ""Research Project of the Year"".
Traditionally known for its focus on professional courses, in the 2000s Bournemouth University invested in research to underpin its curriculum and maximise its contribution to the regional and national economies. The university currently has over 16,000 students, including over 1,500 international students.
The university is recognised for its work in the media industries, being home to the Centre for Excellence in Media Practice (CEMP). Graduates from the university have worked on a number of Hollywood films, including ""Gravity"", which was awarded the Achievement in Visual Effects Oscar at the 86th Academy Awards.
International: 60%-65% in foundation.Postgraduate:  UK: 2.1 (2.2 with work experience)
International: for Chinese student 60%-70% in their undergraduate studies.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.bournemouth.ac.ukEmail:  international@bournemouth.ac.ukPhone:  +44 (0)1202 961606",50.72,-1.86,http://www.bournemouth.ac.uk
Manchester Metropolitan University,"Established:  1970 Manchester Metropolitan University, often referred to as 'MMU', is a British university located in North West England, and was established in 1970 as 'Manchester Polytechnic', and gained University Status in 1992. Its headquarters and central campus are in the city of Manchester, and there are additional facilities in the county of Cheshire. The university has its roots in the Manchester Mechanics' Institution (1824) and the Manchester School of Design (1838). It is the fifth largest university in the United Kingdom in terms of student numbers.
Teaching standards have also been described as 'among the highest in the country' by the Quality Assurance Agency. The university is ranked fourth of the new universities in attracting research funds from the Higher Education Funding Council for England.
The university is home to the Manchester School of Art, the Manchester School of Theatre and, in conjunction with the University of Manchester, the Manchester School of Architecture.",53.47,-2.24,http://www.mmu.ac.uk
University of Derby,"Established:  1851 The University of Derby is a public university in the city of Derby, England. It traces its history back to the establishment of the Derby Diocesan Institution for the Training of School mistresses in 1851 and gained university status from in 1992 as one of the new universities.
The university provides nearly 300 study programmes at undergraduate level. Undergraduate programmes as well as short courses, foundation degrees and postgraduate degrees cover most academic disciplines and subdisciplines.
Currently the university is home to around 22,000 students in all areas of study.",52.94,-1.5,http://www.derby.ac.uk
Robert Gordon University,"Established:  1992 The Robert Gordon University, commonly referred to as RGU, is a public university in the city of Aberdeen, Scotland. It became a university in 1992, and originated from an educational institution founded in the 18th century by Robert Gordon, a prosperous Aberdeen merchant, and various institutions which provided adult education and technical education in the 19th and early 20th centuries. 
According to the 2013 Times Good University Guide, it is the best modern university in the UK. Of those who graduated from full-time undergraduate degrees in 2011 and 2012, over 97% were in employment or further study within six months - the most of any university in the UK.
The university, which brands itself “the professional university”, awards degrees in a wide range of disciplines from BA/BSc to PhD, primarily in (but not limited to) professional, technical and artistic disciplines and those most applicable to business and industry. A number of traditional academic degree programmes are also offered, such as in the social sciences. Disciplines available include the social sciences, life sciences, engineering, computing science, pharmacy, nursing, allied health professions, social work, law, accountancy, business administration, management, journalism, fine art, applied arts and design, and architecture.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.rgu.ac.ukEmail:  ugoffice@rgu.ac.ukPhone:  +44 (0) 1224 262728",57.15,-2.1,http://www.rgu.ac.uk
University of Gloucestershire,"Established:  1834 The University of Gloucestershire is a public university primarily based in Gloucestershire, England, on four campuses, three in Cheltenham and one in Gloucester.
Gloucestershire's reputation and ranking grow year on year, and the University is particularly known for its education, sports science and healthcare programmes.",51.87,-2.22,http://www.glos.ac.uk
Oxford Brookes University,"Established:  1992 Oxford Brookes University is a new university in Oxford, England. It can trace its origins to 1865 when the former Oxford School of Art was established. The university was renamed in 1992 to honour its former principal, John Brookes. The university's School of Architecture is one of the largest in Britain.
Oxford Brookes is one of the UK’s leading modern universities and enjoys an international reputation for teaching excellence and innovation as well as strong links with business and industry. Around 4,000 students from over 120 different countries worldwide choose to study at Oxford Brookes every year, making up approximately a quarter of our student population.
Oxford Brookes is situated 50 miles from London in the beautiful city of Oxford. One of the world’s great student cities, Oxford combines a rich cultural history with a vibrant, youthful and cosmopolitan atmosphere. It is a wonderful place to live and study.
*Please note that entry requirements vary on the course-to-course basis. More information can be obtained from UKuni consultants.Contact the UniWebsite:  www.brookes.ac.ukEmail:  admissions@brookes.ac.ukPhone:  +44 (0)1865 483040",51.75,-1.22,http://www.brookes.ac.uk
University of Winchester,"Established:  1840 The University of Winchester is located close to the centre of the ancient cathedral city of Winchester, an hour away from London in the shadow of the beautiful South Downs. It also has a site in Basingstoke known as Chute House in the heart of its vibrant commercial sector.
Winchester is a more personal University, with under 6,000 students studying a broad range of programmes at both undergraduate and postgraduate level. The culture of the University is informal, with an emphasis on providing a supportive community for students to unlock their potential and become the best they can be in their chosen careers. 
The institution has a long history, having been established in 1840, and it combines this heritage with innovative and forward-looking teaching and learning. Research and knowledge transfer is also key, underpinning all its teaching, from Foundation Degree to PhD level. Winchester has scholars who are at the very forefront of their disciplines. 
You should enclose transcripts of your academic achievements with your application, together with information about any qualifications that you are taking but are yet to complete. Further details about 
Mature students, who are 21 years old or over at the time of entry, may be exempted from the standard entry requirements. Alternative qualifications including work experience can be taken into account.
For some programmes, you will need to show that you have achieved the required standard in particular subjects relevant to your proposed studies. For Postgraduate programmes there may be other non-academic entry requirements, such as work experience.Postgraduate:  Students want to apply taught Master's programmes normally require a Second Class UK honours degree, or its foreign equivalent.Contact the UniWebsite:  winchester.ac.ukEmail:  international@winchester.ac.ukPhone:  +44 (0)1962 827 023",51.06,-1.33,http://winchester.ac.uk
Royal Agricultural University,"Established:  1845 The Royal Agricultural University or RAU (previously known as the Royal Agricultural College or RAC) is a university located in Cirencester, Gloucestershire, UK. Established in 1845, it was the first agricultural college in the English-speaking world. 
The university provides more than 30 land-based undergraduate and postgraduate degree programmes to students from over 45 countries through the School of Agriculture, the School of Business and Entrepreneurship, and the School of Real Estate & Land Management.",51.71,-2.06,http://www.rau.ac.uk
Plymouth University,"Established:  1825 Plymouth University is a public university in the South West of England, with over 28,600 students and is 10th largest in the United Kingdom by the total number of students. It has almost 2,900 staff making it one of the largest employers in the south-west. The main campus is in the Devon city of Plymouth, but the university has campuses and affiliated colleges all over South West England.
Whilst the University has been known as Plymouth University since June 2011 as a result of a rebrand, the formal name and legal title of the university remains ""University of Plymouth"".",50.37,-4.14,http://www.plym.ac.uk
University of Salford,"Established:  1967 The University of Salford is a public university located in Salford, England, approximately 1.5 miles (2.4 km) west of Manchester city centre. Its origins come from the Royal Technical Institute, Salford which was opened in 1896. 
It has around 20,000 students and is situated in 60 acres (240,000 m2) of parkland on the banks of the River Irwell.
In October 2011, the university opened a learning, teaching and research space at MediaCityUK. Over 1,500 students will have opportunities to work near media professionals using the latest industry specified equipment, studios and laboratories. They will study on 39 undergraduate and postgraduate programmes.",53.49,-2.27,http://www.salford.ac.uk
University of Hertfordshire,"Established:  1992 The University of Hertfordshire is a British new university based largely in Hatfield, in the county of Hertfordshire, England, from which the University takes its name. It has more than 27,000 students and 2358 staff, 812 of which are academic members of staff. It has over 5200 international students and a global network of over 160,000 alumni.
Throughout its history, the university has been strong in aerospace engineering and computer science. More recently, it has built up its strengths in other areas such as pharmacology, history, business, geography and astrophysics.
The university is ranked 9th for physics by the Guardian University guide for 2011. The university has a unique history in training aerospace engineers",51.76,-0.24,http://www.herts.ac.uk
Cardiff Metropolitan University,"Established:  1865 Cardiff Metropolitan University, formerly University of Wales Institute, Cardiff (UWIC), is a university situated in Cardiff. It operates from three campuses: Llandaff on Western Avenue, Cyncoed, and Howard Gardens in the City Centre.
The university has over 12,000 students and offers degree courses in a variety of disciplines. Cardiff Metropolitan University has a number of research and enterprise centres, including the Food Industry Centre, the Welsh Centre for Tourism Research, and the National Centre for Product Design and Development Research.
 ",51.48,-3.17,http://www.cardiffmet.ac.uk
Middlesex University,"Established:  1973 Middlesex University is a university in Hendon, North London, England. It is located within the historic county boundaries of Middlesex from which it takes its name. It is one of the new universities, but can trace its history back to 19th century.
In 2012 the university restructured its academic schools in order to align them more closely with the needs of industry. Courses at Middlesex are now delivered by the schools of Business, Law, Art and Design, Health and Education, Media and Performing Arts and Science and Technology, alongside the university’s Institute for Work Based Learning.",51.59,-0.23,http://www.mdx.ac.uk
Teesside University,"Established:  1992 Teesside University has its main campus in Middlesbrough in North East England and also has a campus in Darlington named Teesside University Darlington.
Teeside was the first modern university to win the Times Higher award of University of the Year. The University is founded on 80 years of innovation in education and is one of the top UK universities for widening participation in higher education. 
Tees Valley, the location of Teeside University, is one of the country's best kept secrets. It's got top surf, a national park on the doorstep plus unique shopping and culture, bars and famous clubs. ",0,0,http://www.tees.ac.uk
